Common Name
American Robin
Song Sparrow
Gray Catbird
Common Grackle
Northern Cardinal
Mourning Dove
House Sparrow
Red Winged Blackbird
Osprey
Great Egret
Blue Jay
European Starling
Double-crested Cormorant
Barn Swallow
Carolina Wren
American Herring Gull
Northern Mockingbird
Northern Flicker
American Goldfinch
Red-bellied Woodpecker
Northern Yellow Warbler
Snowy Egret
Mallard
Canada Goose
Northern Rough-winged Swallow
Northern House Wren
Downy Woodpecker
Great Black-backed Gull
Common Tern
Tree Swallow
House Finch
Eastern Warbling Vireo
Fish Crow
Laughing Gull
Rock Pigeon
Great Blue Heron
American Oystercatcher
Tufted Titmouse
White-breasted Nuthatch
Killdeer
Chimney Swift
Baltimore Oriole
Ring-billed Gull
Red-eyed Vireo
Black-crowned Night Heron
Marsh Wren
Cedar Waxwing
Wild Turkey
American Crow
Indigo Bunting
Brown-headed Cowbird
Hairy Woodpecker
Great Crested Flycatcher
Chipping Sparrow
Mute Swan
Red-tailed Hawk
Willet
Eastern Kingbird
Blue-gray Gnatcatcher
Willow Flycatcher
Ruby-throated Hummingbird
Eastern Towhee
Orchard Oriole
American Black Duck
Forster's Tern
Least Tern
Purple Martin
American Redstart
Cliff Swallow
Bank Swallow
Eastern Wood-Pewee
Eastern Bluebird
Spotted Sandpiper
Common Raven
Wood Duck
Green Heron
Bald Eagle
Yellow Crowned Night Heron
Turkey Vulture
Eastern Phoebe
Glossy Ibis
Pileated Woodpecker
Belted Kingfisher
Pine Warbler
Least Sandpiper
Swamp Sparrow
Brown Thrasher
Saltmarsh Sparrow
Eastern Screech-Owl
Black Skimmer
Greater Yellowlegs
Virginia Rail
Cooper's Hawk
Peregrine Falcon
Scarlet Tanager
Least Bittern
Semipalmated Sandpiper
Yellow-billed Cuckoo
Common Loon
Short-billed Dowitcher
